
Program Started
AES		 , nan		 ,  0		 ,   1FFT		 , nan		 ,  0		 ,   1SHA		 , nan		 ,  0		 ,   1BFS		 , nan		 ,  0		 ,   1KMP		 , nan		 ,  0		 ,   1GEMM		 , nan		 ,  0		 ,   1SORT		 , nan		 ,  0		 ,   1SPMV		 , nan		 ,  0		 ,   1
AES		 , 0.000		 ,  0		 ,  41FFT		 , 1.275		 ,  3		 ,  41SHA		 , 0.000		 ,  0		 ,  41BFS		 , 0.000		 ,  0		 ,  41KMP		 , 0.000		 ,  0		 ,  41GEMM		 , 0.000		 ,  0		 ,  41SORT		 , 0.000		 ,  0		 ,  41SPMV		 , 0.000		 ,  0		 ,  41
AES		 , 0.000		 ,  0		 ,  42FFT		 , 1.244		 ,  3		 ,  42SHA		 , 0.000		 ,  0		 ,  42BFS		 , 0.000		 ,  0		 ,  42KMP		 , 0.000		 ,  0		 ,  42GEMM		 , 0.000		 ,  0		 ,  42SORT		 , 0.000		 ,  0		 ,  42SPMV		 , 0.000		 ,  0		 ,  42
AES		 , 0.000		 ,  0		 ,  43FFT		 , 1.214		 ,  3		 ,  43SHA		 , 0.000		 ,  0		 ,  43BFS		 , 0.000		 ,  0		 ,  43KMP		 , 0.000		 ,  0		 ,  43GEMM		 , 0.000		 ,  0		 ,  43SORT		 , 0.000		 ,  0		 ,  43SPMV		 , 0.000		 ,  0		 ,  43
AES		 , 0.000		 ,  0		 ,  44FFT		 , 1.581		 ,  4		 ,  44SHA		 , 0.000		 ,  0		 ,  44BFS		 , 0.000		 ,  0		 ,  44KMP		 , 0.000		 ,  0		 ,  44GEMM		 , 0.000		 ,  0		 ,  44SORT		 , 0.000		 ,  0		 ,  44SPMV		 , 0.000		 ,  0		 ,  44
AES		 , 0.000		 ,  0		 ,  45FFT		 , 1.545		 ,  4		 ,  45SHA		 , 0.000		 ,  0		 ,  45BFS		 , 0.000		 ,  0		 ,  45KMP		 , 0.000		 ,  0		 ,  45GEMM		 , 0.000		 ,  0		 ,  45SORT		 , 0.000		 ,  0		 ,  45SPMV		 , 0.000		 ,  0		 ,  45
AES		 , 0.000		 ,  0		 ,  46FFT		 , 1.511		 ,  4		 ,  46SHA		 , 0.000		 ,  0		 ,  46BFS		 , 0.000		 ,  0		 ,  46KMP		 , 0.000		 ,  0		 ,  46GEMM		 , 0.000		 ,  0		 ,  46SORT		 , 0.000		 ,  0		 ,  46SPMV		 , 0.000		 ,  0		 ,  46
AES		 , 0.000		 ,  0		 ,  47FFT		 , 1.478		 ,  4		 ,  47SHA		 , 0.000		 ,  0		 ,  47BFS		 , 0.000		 ,  0		 ,  47KMP		 , 0.000		 ,  0		 ,  47GEMM		 , 0.000		 ,  0		 ,  47SORT		 , 0.000		 ,  0		 ,  47SPMV		 , 0.000		 ,  0		 ,  47
AES		 , 0.000		 ,  0		 ,  48FFT		 , 1.447		 ,  4		 ,  48SHA		 , 0.000		 ,  0		 ,  48BFS		 , 0.000		 ,  0		 ,  48KMP		 , 0.000		 ,  0		 ,  48GEMM		 , 0.000		 ,  0		 ,  48SORT		 , 0.000		 ,  0		 ,  48SPMV		 , 0.000		 ,  0		 ,  48
AES		 , 0.000		 ,  0		 ,  49FFT		 , 1.417		 ,  4		 ,  49SHA		 , 0.000		 ,  0		 ,  49BFS		 , 0.000		 ,  0		 ,  49KMP		 , 0.000		 ,  0		 ,  49GEMM		 , 0.000		 ,  0		 ,  49SORT		 , 0.000		 ,  0		 ,  49SPMV		 , 0.000		 ,  0		 ,  49
AES		 , 0.000		 ,  0		 ,  50FFT		 , 1.388		 ,  4		 ,  50SHA		 , 0.000		 ,  0		 ,  50BFS		 , 0.000		 ,  0		 ,  50KMP		 , 0.000		 ,  0		 ,  50GEMM		 , 0.000		 ,  0		 ,  50SORT		 , 0.000		 ,  0		 ,  50SPMV		 , 0.000		 ,  0		 ,  50
